TF_name	TSS	Binding_site	Action type	SRAID_PMID	Evidence	Tissue	Species
MYC	chr19: 13836659	chr19: 13840585-13840754(score=376)	Regulation	SRX188954	level 1	Breast	H.sapiens
MYC	chr19: 13836659	chr19: 13840595-13840714(score=350)	Regulation	SRX103000	level 1	Breast	H.sapiens
MYC	_	_	Repression	19219026	literature	_	H.sapiens
MYC	_	_	Activation	23649631	literature	_	H.sapiens
MYC	_	_	Repression	25519956	literature	_	H.sapiens
MYCN	chr19: 13836659	chr19: 13839753-13839896(score=524)	Regulation	SRX2550934	level 1	Neural	H.sapiens
NCOR1	chr19: 13836659	chr19: 13835792-13836032(score=736)	Regulation	SRX747573	level 1	Blood	H.sapiens
NCOR1	chr19: 13836659	chr19: 13836914-13837198(score=1000)	Regulation	SRX747573	level 1	Blood	H.sapiens
NFATC3	_	_	Activation(feedback)	19574461	literature	_	H.sapiens
NFATC3	_	_	Activation(feedback)	23929433	literature	_	H.sapiens
NFE2	chr19: 13836659	chr19: 13839133-13839237(score=336)	Regulation	SRX646135	level 1	Blood	H.sapiens
NFE2	chr19: 13836659	chr19: 13839133-13839238(score=337)	Regulation	SRX1089829	level 1	Blood	H.sapiens
NFE2	chr19: 13836659	chr19: 13839152-13839239(score=674)	Regulation	SRX218420	level 1	Blood	H.sapiens
NFE2	chr19: 13836659	chr19: 13840588-13840699(score=871)	Regulation	SRX218420	level 1	Blood	H.sapiens
NFE2L2	chr19: 13836659	chr19: 13836940-13837122(score=578)	Regulation(feedback)	SRX2734392	level 1	Cardiovascular	H.sapiens
NFE2L2	chr19: 13836659	chr19: 13836966-13837095(score=417)	Regulation(feedback)	SRX2734393	level 1	Cardiovascular	H.sapiens
NFIC	chr19: 13836659	chr19: 13839748-13839948(score=695)	Regulation	SRX190336	level 1	Neural	H.sapiens
NFKB1	chr19: 13836659	chr19: 13837001-13837167(score=1000)	Regulation	SRX790970	level 1	Blood	H.sapiens
NFKB1	chr19: 13836659	chr19: 13837024-13837124(score=583)	Regulation	SRX790969	level 1	Blood	H.sapiens
NFKB1	chr19: 13836659	chr19: 13839188-13839313(score=613)	Regulation	SRX790970	level 1	Blood	H.sapiens
NFKB2	chr19: 13836659	chr19: 13837028-13837119(score=351)	Regulation	SRX790971	level 1	Blood	H.sapiens
NFKB2	chr19: 13836659	chr19: 13837032-13837149(score=555)	Regulation	SRX790972	level 1	Blood	H.sapiens
NOTCH1	chr19: 13836659	chr19: 13836903-13837231(score=920)	Regulation	SRX159138	level 1	Blood	H.sapiens
NR2F2	chr19: 13836659	chr19: 13835735-13835966(score=809)	Regulation	SRX194577	level 1	Breast	H.sapiens
NR4A1	chr19: 13836659	chr19: 13835832-13835997(score=665)	Regulation	SRX1653204	level 1	Blood	H.sapiens
NR4A1	chr19: 13836659	chr19: 13835834-13835971(score=546)	Regulation	SRX1653203	level 1	Blood	H.sapiens
NR4A1	chr19: 13836659	chr19: 13836967-13837101(score=355)	Regulation	SRX1653204	level 1	Blood	H.sapiens
PAX5	chr19: 13836659	chr19: 13840556-13840700(score=591)	Regulation	SRX100436	level 1	Blood	H.sapiens
PBX3	chr19: 13836659	chr19: 13839701-13839903(score=1000)	Regulation	SRX190343	level 1	Neural	H.sapiens
PGR	chr19: 13836659	chr19: 13835677-13835921(score=615)	Regulation	SRX1012655	level 1	Breast	H.sapiens
PHF8	chr19: 13836659	chr19: 13839233-13839455(score=653)	Regulation	SRX186646	level 1	Blood	H.sapiens
PHF8	chr19: 13836659	chr19: 13839249-13839411(score=479)	Regulation	SRX116436	level 1	Blood	H.sapiens
PHF8	chr19: 13836659	chr19: 13839279-13839404(score=387)	Regulation	SRX116437	level 1	Blood	H.sapiens
RARA	chr19: 13836659	chr19: 13835805-13835986(score=485)	Regulation	SRX014782	level 1	Blood	H.sapiens
RARA	chr19: 13836659	chr19: 13836961-13837187(score=774)	Regulation	SRX682379	level 1	Blood	H.sapiens
RARA	chr19: 13836659	chr19: 13839715-13839988(score=497)	Regulation	SRX682379	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839094-13839464(score=727)	Regulation	SRX813775	level 1	Adipocyte	H.sapiens
RELA	chr19: 13836659	chr19: 13839179-13839326(score=403)	Regulation	SRX813774	level 1	Adipocyte	H.sapiens
RELA	chr19: 13836659	chr19: 13839122-13839325(score=675)	Regulation	SRX150353	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839138-13839364(score=762)	Regulation	SRX150605	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839144-13839329(score=402)	Regulation	SRX150557	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839152-13839301(score=504)	Regulation	SRX150610	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839154-13839294(score=392)	Regulation	SRX150608	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839157-13839326(score=530)	Regulation	SRX150359	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839169-13839317(score=388)	Regulation	SRX017871	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839173-13839337(score=595)	Regulation	SRX017912	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13839201-13839326(score=372)	Regulation	SRX017859	level 1	Blood	H.sapiens
RELA	chr19: 13836659	chr19: 13835724-13835934(score=472)	Regulation	SRX968971	level 1	Breast	H.sapiens
RELA	chr19: 13836659	chr19: 13836943-13837171(score=874)	Regulation	SRX2355085	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13836962-13837183(score=651)	Regulation	SRX2355083	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13836977-13837165(score=590)	Regulation	SRX2355081	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13836995-13837185(score=482)	Regulation	SRX2355079	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839127-13839336(score=899)	Regulation	SRX2355085	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839130-13839355(score=729)	Regulation	SRX2355083	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839141-13839375(score=515)	Regulation	SRX2355079	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839145-13839353(score=489)	Regulation	SRX425263	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839152-13839321(score=689)	Regulation	SRX294971	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839158-13839296(score=559)	Regulation	SRX2355081	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839161-13839302(score=549)	Regulation	SRX2355078	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839187-13839330(score=390)	Regulation	SRX112016	level 1	Cardiovascular	H.sapiens
RELA	chr19: 13836659	chr19: 13839146-13839403(score=697)	Regulation	SRX2055843	level 1	Kidney	H.sapiens
RELA	_	_	Activation	26378023	literature	_	H.sapiens
RUNX1	chr19: 13842918	chr19: 13842839-13843067(score=769)	Regulation	SRX063913	level 2	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13835790-13836039(score=1000)	Regulation	SRX682384	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836942-13837189(score=1000)	Regulation	SRX202967	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836947-13837198(score=1000)	Regulation	SRX682384	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836955-13837140(score=488)	Regulation	SRX062339	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836957-13837140(score=486)	Regulation	SRX838202	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836962-13837131(score=492)	Regulation	SRX1036365	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836962-13837131(score=492)	Regulation	SRX669872	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836962-13837182(score=596)	Regulation	SRX1803059	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836963-13837193(score=583)	Regulation	SRX747571	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836975-13837175(score=895)	Regulation	SRX858324	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13836994-13837157(score=517)	Regulation	SRX369126	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13837009-13837129(score=330)	Regulation	SRX858323	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13837018-13837181(score=628)	Regulation	SRX062336	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13837039-13837158(score=420)	Regulation	SRX062337	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13839104-13839299(score=656)	Regulation	SRX682384	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13839151-13839310(score=513)	Regulation	SRX062339	level 1	Blood	H.sapiens
RUNX1	chr19: 13836659	chr19: 13839151-13839310(score=513)	Regulation	SRX838202	level 1	Blood	H.sapiens
RUNX1	_	_	Repression	19826043	literature	_	H.sapiens
RUNX1T1	chr19: 13836659	chr19: 13835788-13836062(score=967)	Regulation	SRX747572	level 1	Blood	H.sapiens
RUNX1T1	chr19: 13836659	chr19: 13836914-13837247(score=1000)	Regulation	SRX747572	level 1	Blood	H.sapiens
RUNX1T1	chr19: 13836659	chr19: 13836968-13837216(score=730)	Regulation	SRX1514278	level 1	Blood	H.sapiens
RUNX1T1	chr19: 13836659	chr19: 13837018-13837147(score=565)	Regulation	SRX858325	level 1	Blood	H.sapiens
RUNX2	_	_	Repression	20980664	literature	_	H.sapiens
RUNX3	chr19: 13836659	chr19: 13836989-13837164(score=642)	Regulation	SRX190349	level 1	Blood	H.sapiens
SIN3A	chr19: 13836659	chr19: 13840589-13840787(score=531)	Regulation	SRX190361	level 1	Digestive tract	H.sapiens
SMAD1	chr19: 13836659	chr19: 13835815-13835998(score=933)	Regulation	SRX097097	level 1	Blood	H.sapiens
SMAD1	chr19: 13836659	chr19: 13836987-13837116(score=367)	Regulation	SRX097097	level 1	Blood	H.sapiens
SON	_	_	Repression	23322776	literature	_	H.sapiens
SP1	chr19: 13836659	chr19: 13840554-13840746(score=572)	Regulation(feedback)	SRX190358	level 1	Digestive tract	H.sapiens
SP1	_	_	Activation(feedback)	27099864	literature	_	H.sapiens
SPI1	chr19: 13836659	chr19: 13835877-13836054(score=365)	Regulation	SRX794057	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13835901-13836072(score=410)	Regulation	SRX2268287	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13835909-13836101(score=497)	Regulation	SRX1089833	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13835941-13836056(score=294)	Regulation	SRX190299	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836860-13837125(score=631)	Regulation	ERX626869	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836863-13837085(score=543)	Regulation	ERX626856	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836869-13837148(score=1000)	Regulation	SRX2770855	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836878-13837136(score=779)	Regulation	SRX627428	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836879-13837145(score=1000)	Regulation	SRX1023792	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836887-13837137(score=1000)	Regulation	SRX1023790	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836892-13837115(score=919)	Regulation	SRX1048461	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836892-13837121(score=836)	Regulation	SRX627430	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836899-13837127(score=1000)	Regulation	SRX2770857	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836901-13837152(score=1000)	Regulation	SRX1023793	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836904-13837135(score=1000)	Regulation	SRX1089833	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836907-13837112(score=567)	Regulation	SRX475795	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836908-13837142(score=809)	Regulation	SRX475793	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836912-13837129(score=1000)	Regulation	SRX2770854	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836912-13837159(score=1000)	Regulation	SRX794057	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836913-13837101(score=474)	Regulation	ERX626851	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836917-13837140(score=1000)	Regulation	SRX2268287	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836918-13837117(score=544)	Regulation	SRX2268282	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836918-13837125(score=729)	Regulation	SRX103224	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836921-13837121(score=1000)	Regulation	SRX093183	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836923-13837122(score=1000)	Regulation	SRX190299	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836925-13837133(score=1000)	Regulation	SRX2268284	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836925-13837144(score=1000)	Regulation	SRX2268286	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836926-13837109(score=589)	Regulation	SRX698189	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836927-13837080(score=470)	Regulation	SRX1089832	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836927-13837104(score=820)	Regulation	SRX1023791	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836928-13837112(score=928)	Regulation	SRX100576	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836928-13837139(score=1000)	Regulation	SRX2268285	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836937-13837116(score=982)	Regulation	SRX100443	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836947-13837087(score=505)	Regulation	SRX1048483	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836950-13837115(score=501)	Regulation	SRX698188	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13836955-13837141(score=474)	Regulation	SRX2268283	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13839130-13839302(score=517)	Regulation	SRX2770855	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13839138-13839296(score=682)	Regulation	SRX1023792	level 1	Blood	H.sapiens
SPI1	chr19: 13836659	chr19: 13839144-13839306(score=488)	Regulation	SRX1089833	level 1	Blood	H.sapiens
SPI1	_	_	Activation	20399246	literature	_	H.sapiens
STAT1	chr19: 13836659	chr19: 13836947-13837135(score=664)	Regulation	SRX212648	level 1	Blood	H.sapiens
STAT1	chr19: 13836659	chr19: 13836960-13837123(score=576)	Regulation	SRX212650	level 1	Blood	H.sapiens
STAT1	chr19: 13836659	chr19: 13836976-13837118(score=383)	Regulation	SRX212649	level 1	Blood	H.sapiens
STAT1	chr19: 13836659	chr19: 13839095-13839286(score=597)	Regulation	SRX212648	level 1	Blood	H.sapiens
STAT1	chr19: 13836659	chr19: 13839100-13839306(score=620)	Regulation	SRX212650	level 1	Blood	H.sapiens
STAT1	chr19: 13836659	chr19: 13839140-13839278(score=361)	Regulation	SRX212649	level 1	Blood	H.sapiens
STAT1	chr19: 13836659	chr19: 13839980-13840133(score=450)	Regulation	SRX212650	level 1	Blood	H.sapiens
STAT3	chr19: 13836659	chr19: 13839004-13839275(score=856)	Regulation(feedback)	SRX2020842	level 1	Breast	H.sapiens
STAT3	chr19: 13836659	chr19: 13839018-13839220(score=441)	Regulation(feedback)	SRX2020843	level 1	Breast	H.sapiens
STAT5B	chr19: 13836659	chr19: 13836901-13837201(score=1000)	Regulation	SRX831874	level 1	Blood	H.sapiens
STAT5B	chr19: 13836659	chr19: 13836919-13837200(score=1000)	Regulation	SRX831873	level 1	Blood	H.sapiens
STAT5B	chr19: 13836659	chr19: 13836939-13837133(score=521)	Regulation	SRX831878	level 1	Blood	H.sapiens
STAT5B	chr19: 13836659	chr19: 13836941-13837165(score=968)	Regulation	SRX041293	level 1	Blood	H.sapiens
TAF1	chr19: 13836659	chr19: 13839085-13839237(score=459)	Regulation	SRX100476	level 1	Blood	H.sapiens
TAF1	chr19: 13836659	chr19: 13839132-13839251(score=331)	Regulation	SRX100582	level 1	Blood	H.sapiens
TAL1	chr19: 13836659	chr19: 13836916-13837194(score=1000)	Regulation	SRX393518	level 1	Cardiovascular	H.sapiens
TAL1	chr19: 13836659	chr19: 13836931-13837192(score=1000)	Regulation	SRX393516	level 1	Cardiovascular	H.sapiens
TBP	chr19: 13842918	chr19: 13842843-13843027(score=1000)	Regulation	SRX150574	level 2	Blood	H.sapiens
TBP	chr19: 13842918	chr19: 13842856-13843101(score=1000)	Regulation	SRX265224	level 2	Blood	H.sapiens
TBP	chr19: 13836659	chr19: 13839114-13839326(score=500)	Regulation	SRX150357	level 1	Blood	H.sapiens
TCF12	chr19: 13836659	chr19: 13835797-13836007(score=677)	Regulation	SRX026635	level 1	Blood	H.sapiens
TCF12	chr19: 13836659	chr19: 13835849-13836061(score=410)	Regulation	SRX236114	level 1	Blood	H.sapiens
TCF12	chr19: 13836659	chr19: 13836949-13837188(score=486)	Regulation	SRX158110	level 1	Blood	H.sapiens
TCF12	chr19: 13836659	chr19: 13836992-13837088(score=363)	Regulation	SRX100434	level 1	Blood	H.sapiens
TCF12	chr19: 13836659	chr19: 13836957-13837119(score=523)	Regulation	SRX190356	level 1	Neural	H.sapiens
TCF12	chr19: 13836659	chr19: 13839575-13839947(score=1000)	Regulation	SRX190356	level 1	Neural	H.sapiens
TCF3	chr19: 13836659	chr19: 13835764-13836217(score=916)	Regulation	SRX236115	level 1	Blood	H.sapiens
TCF3	chr19: 13836659	chr19: 13836753-13837073(score=601)	Regulation	SRX236115	level 1	Blood	H.sapiens
TCF3	chr19: 13836659	chr19: 13836768-13837243(score=1000)	Regulation	SRX2043230	level 1	Blood	H.sapiens
TCF3	chr19: 13836659	chr19: 13836990-13837088(score=315)	Regulation	SRX190201	level 1	Blood	H.sapiens
TCF3	chr19: 13836659	chr19: 13839307-13839693(score=743)	Regulation	SRX236115	level 1	Blood	H.sapiens
TCF4	chr19: 13836659	chr19: 13836956-13837105(score=359)	Regulation	SRX1491252	level 1	Blood	H.sapiens
TEAD4	chr19: 13836659	chr19: 13839690-13839894(score=406)	Regulation	SRX1948680	level 1	Neural	H.sapiens
TFAP2A	chr19: 13836659	chr19: 13836932-13837126(score=492)	Regulation	SRX1091550	level 1	Pluripotent stem cell	H.sapiens
TFAP2A	chr19: 13836659	chr19: 13839112-13839318(score=331)	Regulation	SRX150447	level 1	Uterus	H.sapiens
TFAP2A	chr19: 13836659	chr19: 13840495-13840717(score=547)	Regulation	SRX150447	level 1	Uterus	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13835665-13835925(score=638)	Regulation	SRX128102	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840491-13840746(score=1000)	Regulation	SRX128102	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840498-13840727(score=1000)	Regulation	SRX128100	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840508-13840718(score=819)	Regulation	SRX028632	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840527-13840699(score=570)	Regulation	SRX028633	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840536-13840715(score=871)	Regulation	SRX128101	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840539-13840694(score=282)	Regulation	SRX018833	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840539-13840694(score=282)	Regulation	SRX128099	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13841498-13841626(score=438)	Regulation	SRX128100	level 1	Breast	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13836967-13837148(score=799)	Regulation	SRX190406	level 1	Epidermis	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13839058-13839324(score=623)	Regulation	SRX190406	level 1	Epidermis	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840529-13840702(score=815)	Regulation	SRX190406	level 1	Epidermis	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13839061-13839334(score=471)	Regulation	SRX150450	level 1	Uterus	H.sapiens
TFAP2C	chr19: 13836659	chr19: 13840470-13840737(score=899)	Regulation	SRX150450	level 1	Uterus	H.sapiens
TFAP4	chr19: 13836659	chr19: 13836876-13837191(score=980)	Regulation	SRX259617	level 1	Blood	H.sapiens
TFAP4	chr19: 13836659	chr19: 13836898-13837153(score=706)	Regulation	SRX259618	level 1	Blood	H.sapiens
TFAP4	chr19: 13836659	chr19: 13839639-13839801(score=562)	Regulation	SRX1892834	level 1	Digestive tract	H.sapiens
TGFB1	_	_	Activation	18508316	literature	_	H.sapiens
USF1	chr19: 13842918	chr19: 13842947-13843109(score=753)	Regulation	SRX100486	level 2	Blood	H.sapiens
USF1	chr19: 13842918	chr19: 13842933-13843114(score=1000)	Regulation	SRX100517	level 2	Neural	H.sapiens
USF1	chr19: 13842918	chr19: 13842969-13843080(score=555)	Regulation	SRX190262	level 2	Neural	H.sapiens
USF1	chr19: 13842918	chr19: 13842944-13843102(score=682)	Regulation	SRX100471	level 2	Pluripotent stem cell	H.sapiens
USF1	chr19: 13842918	chr19: 13842968-13843069(score=521)	Regulation	SRX190342	level 2	Uterus	H.sapiens
YY1	chr19: 13836659	chr19: 13839103-13839313(score=1000)	Regulation	SRX100515	level 1	Blood	H.sapiens
YY1	chr19: 13836659	chr19: 13839120-13839324(score=950)	Regulation	SRX100491	level 1	Blood	H.sapiens
YY1	chr19: 13836659	chr19: 13839121-13839325(score=1000)	Regulation	SRX100451	level 1	Blood	H.sapiens
YY1	chr19: 13836659	chr19: 13839132-13839311(score=926)	Regulation	SRX100561	level 1	Blood	H.sapiens
YY1	chr19: 13836659	chr19: 13839141-13839286(score=541)	Regulation	SRX100580	level 1	Blood	H.sapiens
YY1	chr19: 13836659	chr19: 13840582-13840729(score=394)	Regulation	SRX100399	level 1	Digestive tract	H.sapiens
YY1	chr19: 13836659	chr19: 13839126-13839309(score=778)	Regulation	SRX100543	level 1	Neural	H.sapiens
YY1	chr19: 13836659	chr19: 13840602-13840717(score=497)	Regulation	SRX190353	level 1	Neural	H.sapiens
YY1	chr19: 13836659	chr19: 13840595-13840736(score=662)	Regulation	SRX190209	level 1	Uterus	H.sapiens
ZIC1	_	_	Repression	24457242	literature	_	H.sapiens
